,Unnamed: 0,id,day,activity,screen,valence,arousal,office,game,call,sms,social,entertainment,communication,weather,mood
185,194,06,17,0.194947,0.3897343200401552,0.0,-0.6,0.0,0.0,0.3,0.0,0.366424,0.093653,0.553675,0.0,6.6
186,195,06,18,0.174949,0.5072042237685651,0.0,-0.2,0.021389,0.078836,0.4,0.25,0.187259,0.196596,0.489033,0.0,7.4
187,196,06,19,0.103096,0.6082890383182525,0.8,0.4,0.048899,0.0,0.1,0.0,0.375894,0.274341,0.43292,0.000104,7.6
188,197,06,20,0.224284,0.474110056161941,0.8,-0.2,0.0,0.001208,0.1,1.0,0.414748,0.122725,0.462574,0.003461,7.8
189,198,06,21,0.205917,0.4279194684058702,1.0,-0.2,0.013223,0.0,0.0,0.0,0.473269,0.932729,0.431056,0.0,8.2
190,199,06,22,0.233912,0.2640428377148801,1.0,0.4,0.0,0.088365,0.0,0.0,0.272337,0.372197,0.162229,0.003823,6.5
191,200,06,23,0.344742,0.4808634195982549,0.25,-1.5,0.0,0.0,0.2,0.0,0.280728,0.092719,0.528906,0.0,7.25
192,201,06,24,0.178743,0.280201617778902,0.75,-0.25,0.006594,0.0,0.2,0.0,0.157158,0.127959,0.448734,0.0,7.0
193,202,06,25,0.200564,0.423124478668261,0.6,-0.4,0.01063,0.0,0.5,0.25,0.415605,0.15876,0.574206,0.001789,7.6
194,203,06,26,0.145065,1.0,0.4,0.0,0.001161,0.0,0.1,0.0,0.226727,0.152826,0.41252,0.0,6.8
195,204,06,27,0.151671,0.7742033922486548,0.6,0.2,0.024163,0.0,0.1,0.0,0.22393,0.261874,0.36347,0.0,6.25
196,205,06,28,0.146215,0.4427153094553563,0.5,-1.0,0.001428,0.010911,0.3,0.0,0.129528,0.280897,0.492716,0.0,6.8
197,206,06,29,0.098264,0.3286333244271545,0.6,0.2,0.0,0.0,0.4,0.0,0.036088,0.227022,0.588464,0.0,8.2
198,207,06,30,0.029658,0.3451717136626869,0.8,0.6,0.0,0.0,0.0,0.0,0.539461,0.224104,0.244546,0.0,7.0
199,208,06,31,0.078239,0.4484915576019308,0.6,0.2,0.0,0.0,0.1,0.0,0.319452,0.341456,0.4163,0.0,6.6
215,226,07,0,0.0,1.0,1.0,0.333333,0.0,0.0,0.0,0.0,0.103598,0.043628,0.219562,0.0,6.0
216,227,07,1,0.0,0.613913055741704,0.0,-0.4,0.0,0.0,0.0,0.0,0.116661,0.168641,0.582446,0.0,7.75
217,228,07,2,0.0,0.568387877516005,1.5,0.0,0.0,0.0,0.0,0.0,0.075131,0.062023,0.754455,0.0,8.0
218,229,07,3,0.0,0.3073601181116596,1.0,0.5,0.0,0.0,0.3076923076923077,0.9,0.096752,0.093047,0.555034,0.0,7.666667
219,230,07,4,0.134345,0.6972899865421609,1.333333,-0.5,0.0,0.0,0.3076923076923077,0.0,0.119479,0.119245,0.598038,0.0,6.6
220,231,07,5,0.103294,0.5119489643892888,0.6,0.2,0.0,0.0,0.6153846153846154,0.4,0.073006,0.13867,0.490386,0.0,6.8
221,232,07,6,0.0897,0.5408750452712523,0.4,0.2,0.0,0.0,0.1538461538461538,0.8,0.231923,0.026972,0.496694,0.0,8.25
222,233,07,7,0.0981,0.7233395430551962,1.5,0.25,0.0,0.0,0.0769230769230769,0.0,0.147737,0.166559,0.369254,0.0,7.0
223,234,07,8,0.041876,0.5891168605825928,1.0,0.2,0.0,0.0,0.0,0.5,0.139965,0.506879,0.182786,0.0,6.2
224,235,07,9,0.062573,0.486892882632123,0.0,0.2,0.0,0.0,0.1538461538461538,0.1,0.144269,0.069462,0.472975,0.0,4.333333
225,236,07,10,0.051366,0.734671213856744,0.0,-1.0,0.0,0.0,0.3846153846153846,0.1,0.175519,0.287729,0.377854,0.0,6.6
226,237,07,11,0.080762,0.8189187232763122,0.8,-1.0,0.0,0.0,0.2307692307692307,0.8,0.072382,0.323561,0.503789,0.0,5.5
227,238,07,12,0.156187,0.7426109320749879,0.25,-1.25,0.0,0.0,1.0,0.4,0.071021,0.129315,0.316535,0.0,6.2
228,239,07,13,0.090263,0.4497487567362314,0.2,-0.4,0.0,0.0,0.3846153846153846,0.0,0.087651,0.480349,0.525026,0.0,6.5
229,240,07,14,0.04963,0.558412519951802,0.0,-0.75,0.0,0.0,0.5384615384615384,0.2,0.130956,0.167093,0.493994,0.0,6.0
230,241,07,15,0.231307,0.2995681424756016,0.666667,0.0,0.0,0.0,0.6923076923076923,0.5,0.230447,0.068556,0.256217,0.0,6.75
231,242,07,16,0.056316,0.4265487058508145,1.0,-0.75,0.0,0.0,0.1538461538461538,0.3,0.208486,0.314133,0.363352,0.0,5.4
232,243,07,17,0.080524,0.93904674684026,0.2,-0.6,0.0,0.0,0.0,0.1,0.237401,0.337331,0.32924,0.0,6.8
233,244,07,18,0.076801,0.5418687426438566,0.6,-0.4,0.0,0.0,0.0769230769230769,0.0,0.054883,0.082315,0.741251,0.0,6.4
234,245,07,19,0.07079,0.7649743318893514,0.6,-1.0,0.0,0.0,0.1538461538461538,0.2,0.046469,0.086495,0.169025,0.0,6.2
235,246,07,20,0.098958,0.312662363058814,0.0,0.4,0.0,0.0,0.4615384615384615,0.4,0.301135,0.332626,0.215768,0.0,3.5
